timestamp,action,user_name,log_details,ip
2026-07-19 12:44:41,category_updated,system,"{""category_id"":""916308f1-9ee7-4d0e-903f-59dca20bbbd3"",""old_name"":""Disinterment f Crops"",""new_name"":""Disinterment of Corpse""}",37.111.157.120
2026-07-19 12:35:54,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.157.120
2026-07-19 07:39:54,category_updated,system,"{""category_id"":""916308f1-9ee7-4d0e-903f-59dca20bbbd3"",""old_name"":""Dissof Crops"",""new_name"":""Disinterment f Crops""}",59.103.122.81
2026-07-19 07:39:33,category_updated,system,"{""category_id"":""916308f1-9ee7-4d0e-903f-59dca20bbbd3"",""old_name"":""Dissenter of Crops Discharge"",""new_name"":""Dissof Crops""}",59.103.122.81
2026-07-19 07:38:06,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.81
2026-07-16 15:19:54,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.151.194
2026-07-12 16:01:24,category_updated,system,"{""category_id"":""d73960d0-7066-40f2-ab1d-74a9f7ef2637"",""old_name"":""Trails"",""new_name"":""Trials""}",59.103.122.81
2026-07-12 15:48:50,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.81
2026-07-12 05:34:14,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.81
2026-07-12 05:05:51,category_created,Admin,"{""category_id"":""0d793550-1d4e-4f1d-937a-f8f66fad462a"",""name"":""Absconders""}",59.103.122.81
2026-07-12 05:02:21,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.81
2026-07-12 04:42:54,category_created,Admin,"{""category_id"":""0cb22bef-5e71-4fc8-8723-ab3eb986ff3a"",""name"":""Civil Servants""}",59.103.122.81
2026-07-12 04:39:46,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.81
2026-07-11 13:15:22,login,Admin,"{""method"":""password"",""remember_me"":true}",37.111.166.111
2026-07-11 12:35:59,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-07-11 09:37:40,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.129.202
2026-07-11 09:36:40,login,Admin,"{""method"":""password"",""remember_me"":true}",37.111.129.202
2026-07-03 14:22:54,login,Admin,"{""method"":""password"",""remember_me"":true}",37.111.157.70
2026-07-03 13:40:18,category_updated,system,"{""category_id"":""cd5ebdc4-2454-4ba2-a0dc-ce2a9fcceef6"",""old_name"":""Concession"",""new_name"":""Confession""}",59.103.122.81
2026-07-03 03:47:04,login,Admin,"{""method"":""password"",""remember_me"":true}",37.111.150.167
2026-07-02 09:07:40,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.23
2026-06-23 06:54:37,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.23
2026-06-20 14:12:02,login,Admin,"{""method"":""password"",""remember_me"":true}",59.103.122.81
2026-06-06 07:34:17,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.149.233
2026-05-31 04:42:24,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-30 17:26:53,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.148.156
2026-05-30 16:31:11,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.148.156
2026-05-30 13:20:10,logout,Admin,{"method":"manual"},37.111.147.222
2026-05-30 13:19:54,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.147.222
2026-05-30 09:34:36,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.154.165
2026-05-29 17:11:47,login,Admin,"{""method"":""password"",""remember_me"":false}",59.103.122.81
2026-05-29 07:17:19,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.150.219
2026-05-29 07:03:02,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.150.219
2026-05-29 06:38:51,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-29 05:49:47,logout,user1,{"method":"manual"},37.111.150.219
2026-05-29 05:49:13,login,user1,"{""method"":""password"",""remember_me"":false}",37.111.150.219
2026-05-29 05:48:58,logout,Admin,{"method":"manual"},37.111.150.219
2026-05-29 05:48:24,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.150.219
2026-05-29 05:44:18,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.150.219
2026-05-29 05:17:48,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-29 04:45:36,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-29 04:17:24,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-29 04:07:00,login,Admin,"{""method"":""password"",""remember_me"":true}",37.111.150.219
2026-05-29 04:06:37,logout,user1,{"method":"manual"},37.111.150.219
2026-05-29 04:05:43,login,user1,"{""method"":""password"",""remember_me"":false}",37.111.150.219
2026-05-29 04:05:29,logout,Admin,{"method":"manual"},37.111.150.219
2026-05-28 18:57:44,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.144.236
2026-05-28 18:51:11,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 18:32:39,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 18:12:32,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 16:54:50,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 12:50:35,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.156.201
2026-05-28 12:44:35,login,Admin,"{""method"":""password"",""remember_me"":false}",37.111.156.201
2026-05-28 12:39:10,login,Admin,"{""method"":""password"",""remember_me"":false}",::ffff:10.191.248.91
2026-05-28 12:08:32,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 11:44:50,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 11:08:01,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 10:47:28,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 10:15:40,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 09:41:11,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 09:12:59,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 07:56:47,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 07:14:14,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-28 06:41:24,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 18:35:24,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 18:01:11,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 18:01:02,logout,Admin,{"method":"manual"},::1
2026-05-27 17:57:00,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 17:34:43,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 17:12:48,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 16:45:04,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
2026-05-27 16:39:45,login,Admin,"{""method"":""password"",""remember_me"":false}",::1
